Product,Weight (kg),Dimensions (cm),Material,MaxLoad (kg)
Product D #1792,18.85,54x37x34,Wood,184
Product Z #1793,22.68,32x43x27,Steel,236
Product D #1794,21.5,34x54x30,Iron,130
Product Y #1795,11.83,41x42x11,Wood,209
Product A #1796,19.33,66x30x39,Steel,123
Product X #1797,9.63,33x44x29,Titanium,16
Product C #1798,14.74,66x32x17,Carbon,133
Product Y #1799,3.0,28x55x34,Wood,120
Product D #1800,3.8,88x55x7,Wood,193
Product Z #1801,23.65,90x59x18,Wood,48
Product A #1802,19.23,81x12x31,Carbon,186
Product Y #1803,9.46,66x46x23,Titanium,149
Product C #1804,9.43,92x47x21,Aluminum,62
Product D #1805,9.67,30x51x27,Titanium,17
Product C #1806,15.62,50x22x31,Aluminum,125
Product A #1807,24.12,62x23x13,Iron,190
Product Y #1808,23.23,39x12x31,Plastic,162
Product Z #1809,12.56,82x60x21,Plastic,183
Product E #1810,1.14,82x31x29,Carbon,146
Product E #1811,16.16,77x21x22,Carbon,61
Product Z #1812,16.51,31x23x29,Steel,36
Product D #1813,9.52,87x31x29,Steel,219
Product D #1814,4.06,77x50x16,Plastic,46
Product B #1815,7.01,58x56x17,Steel,123
Product C #1816,4.85,60x18x16,Wood,153
Product C #1817,18.91,39x17x21,Wood,276
Product B #1818,7.4,71x59x27,Plastic,72
Product Y #1819,10.08,80x18x36,Iron,248
Product Z #1820,15.49,63x60x26,Wood,189
Product C #1821,5.14,100x17x14,Steel,56
Product C #1822,3.21,83x37x25,Wood,147
Product E #1823,13.15,57x57x30,Plastic,263
Product E #1824,2.98,49x57x13,Iron,238
Product X #1825,13.68,79x10x26,Plastic,194
Product X #1826,12.1,53x13x25,Wood,199
Product Y #1827,21.21,46x33x14,Carbon,260
Product B #1828,17.5,58x38x8,Wood,23
Product C #1829,5.95,85x51x6,Iron,151
Product D #1830,22.62,46x58x16,Carbon,277
Product B #1831,21.22,49x20x27,Plastic,279
Product Y #1832,11.38,51x51x25,Aluminum,285
Product Y #1833,11.2,83x49x7,Steel,287
Product X #1834,12.3,29x48x34,Steel,213
Product C #1835,19.31,93x43x31,Aluminum,181
Product E #1836,2.42,54x38x13,Iron,200
Product B #1837,16.46,51x40x24,Iron,139
Product D #1838,6.19,24x49x27,Wood,92
Product Z #1839,22.68,62x37x14,Wood,52
Product E #1840,23.69,25x58x7,Carbon,91
Product E #1841,24.8,50x55x5,Iron,262
Product Z #1842,23.35,28x19x32,Titanium,173
Product Y #1843,17.42,27x27x22,Steel,156
Product C #1844,17.42,27x47x21,Plastic,206
Product Z #1845,2.78,44x55x19,Carbon,95
Product Y #1846,8.97,56x36x9,Iron,248
Product A #1847,4.94,21x58x19,Titanium,164
Product A #1848,19.07,20x13x29,Plastic,67
Product D #1849,23.2,56x44x21,Wood,206
Product X #1850,17.66,92x36x14,Carbon,247
Product A #1851,24.23,48x15x13,Wood,103
Product D #1852,10.77,38x24x16,Iron,238
Product E #1853,6.34,88x59x8,Iron,97
Product A #1854,13.13,27x38x33,Plastic,246
Product E #1855,9.78,36x13x35,Aluminum,188
Product D #1856,17.55,93x48x40,Carbon,175
Product Y #1857,7.65,20x40x27,Wood,17
Product C #1858,7.82,60x10x22,Iron,66
Product D #1859,6.26,32x52x19,Aluminum,291
Product C #1860,14.18,77x33x34,Titanium,210
Product D #1861,21.34,48x26x7,Plastic,51
Product Y #1862,14.84,49x24x35,Iron,218
Product A #1863,16.51,55x15x40,Steel,194
Product Z #1864,18.38,89x42x28,Aluminum,20
Product C #1865,11.32,32x51x16,Aluminum,206
Product Y #1866,20.67,99x60x11,Wood,251
Product Z #1867,24.31,92x40x37,Plastic,190
Product Z #1868,13.4,39x16x11,Carbon,92
Product X #1869,4.07,97x58x36,Iron,296
Product C #1870,15.8,45x32x21,Plastic,91
Product C #1871,8.34,89x49x32,Titanium,78
Product C #1872,9.77,97x27x18,Aluminum,127
Product X #1873,18.05,75x23x35,Steel,63
Product B #1874,6.88,70x12x34,Wood,101
Product C #1875,12.54,69x38x7,Wood,185
Product D #1876,11.49,72x42x31,Aluminum,201
Product X #1877,16.04,69x46x15,Iron,49
Product Y #1878,24.41,88x45x37,Titanium,56
Product Z #1879,15.02,39x44x10,Steel,179
Product Z #1880,7.36,66x20x5,Aluminum,195
Product A #1881,19.0,24x16x27,Plastic,189
Product E #1882,16.46,40x31x31,Steel,217
Product Y #1883,16.31,92x43x17,Iron,278
Product Z #1884,5.26,64x15x27,Wood,82
Product A #1885,1.38,61x48x29,Titanium,107
Product D #1886,16.9,93x35x5,Iron,223
Product Y #1887,1.48,27x39x6,Carbon,164
Product B #1888,2.28,49x31x20,Carbon,233
Product A #1889,5.42,75x55x39,Plastic,62
Product B #1890,7.09,38x56x7,Iron,283
Product Z #1891,17.65,63x40x22,Aluminum,15
Product C #1892,14.42,77x12x21,Wood,292
Product B #1893,14.57,45x42x11,Carbon,258
Product D #1894,23.73,92x53x16,Titanium,188
Product E #1895,14.43,92x46x22,Wood,178
Product B #1896,10.51,35x15x9,Iron,218
Product E #1897,6.93,22x34x7,Plastic,67
Product E #1898,24.92,93x10x25,Steel,43
Product Y #1899,4.25,75x17x24,Wood,32
Product A #1900,16.66,59x59x12,Plastic,80
Product A #1901,13.96,71x33x6,Wood,125
Product Y #1902,9.59,57x24x30,Carbon,36
Product Y #1903,19.36,100x17x25,Carbon,298
Product D #1904,8.42,75x53x27,Wood,146
Product A #1905,20.84,73x13x15,Aluminum,140
Product X #1906,20.01,45x59x19,Aluminum,208
Product A #1907,14.8,90x33x8,Aluminum,218
Product D #1908,1.49,50x33x16,Iron,115
Product Z #1909,8.02,90x22x22,Aluminum,208
Product E #1910,11.18,98x36x32,Aluminum,248
Product D #1911,2.72,29x59x5,Aluminum,243
Product E #1912,11.89,25x52x37,Aluminum,55
Product E #1913,5.81,24x28x14,Carbon,256
Product D #1914,24.32,34x34x17,Titanium,53
Product C #1915,18.44,93x47x15,Plastic,260
Product X #1916,1.11,53x32x27,Carbon,11
Product A #1917,18.45,55x54x32,Aluminum,96
Product A #1918,7.17,70x51x8,Iron,155
Product Z #1919,16.77,61x39x21,Carbon,153
Product D #1920,6.19,96x27x35,Carbon,13
Product Z #1921,3.29,77x19x25,Steel,96
Product C #1922,21.15,44x28x5,Titanium,73
Product B #1923,12.52,66x40x10,Wood,18
Product C #1924,7.24,98x51x6,Titanium,182
Product C #1925,17.6,49x14x27,Steel,245
Product Y #1926,3.9,76x16x36,Iron,179
Product X #1927,7.74,63x34x25,Titanium,133
Product X #1928,17.68,44x16x9,Aluminum,70
Product A #1929,17.06,57x39x26,Steel,237
Product B #1930,22.51,27x13x23,Carbon,177
Product B #1931,19.06,43x52x22,Carbon,252
Product X #1932,2.75,48x14x10,Wood,235
Product B #1933,20.61,35x47x14,Wood,104
Product Z #1934,15.96,97x47x10,Iron,79
Product B #1935,17.25,42x41x12,Aluminum,173
Product Z #1936,16.22,38x12x10,Iron,176
Product D #1937,21.52,51x16x22,Titanium,109
Product D #1938,19.78,36x39x34,Steel,266
Product E #1939,8.71,27x43x35,Plastic,145
Product Y #1940,24.85,54x20x35,Steel,226
Product X #1941,15.68,44x33x21,Plastic,32
Product Y #1942,18.06,88x44x23,Titanium,299
Product C #1943,9.03,97x55x5,Titanium,228
Product A #1944,2.82,76x40x28,Carbon,46
Product X #1945,7.1,82x59x36,Carbon,84
Product A #1946,20.72,95x16x34,Steel,224
Product Y #1947,8.12,73x52x12,Plastic,181
Product D #1948,9.75,31x45x30,Titanium,143
Product A #1949,10.86,24x54x5,Plastic,119
Product Y #1950,22.75,86x19x23,Steel,244
Product E #1951,9.6,76x21x15,Titanium,288
Product B #1952,16.56,79x34x6,Steel,232
Product Z #1953,15.84,24x25x18,Titanium,82
Product E #1954,5.88,85x18x22,Wood,296
Product X #1955,15.75,25x33x27,Titanium,225
Product X #1956,22.34,83x15x28,Carbon,212
Product Z #1957,5.95,75x40x40,Titanium,263
Product B #1958,6.0,80x59x10,Iron,147
Product C #1959,5.69,83x41x6,Iron,228
Product B #1960,1.18,69x13x29,Wood,129
Product E #1961,19.96,40x37x5,Wood,77
Product Z #1962,13.86,71x41x5,Plastic,132
Product E #1963,10.22,97x57x13,Steel,87
Product X #1964,20.07,44x59x25,Carbon,231
Product E #1965,2.86,25x30x7,Plastic,193
Product E #1966,9.0,25x54x39,Steel,16
Product X #1967,4.11,41x47x25,Aluminum,37
Product Z #1968,20.71,20x31x39,Aluminum,264
Product B #1969,11.86,65x11x8,Steel,70
Product C #1970,4.96,37x42x28,Carbon,244
Product B #1971,20.43,27x27x22,Titanium,67
Product Z #1972,4.11,24x52x16,Steel,287
Product Z #1973,11.3,95x32x26,Wood,28
Product Y #1974,5.76,41x33x18,Wood,190
Product B #1975,18.25,28x18x32,Wood,152
Product E #1976,16.0,31x12x26,Iron,90
Product C #1977,7.68,54x24x10,Titanium,270
Product E #1978,2.22,91x25x27,Aluminum,59
Product Z #1979,5.74,72x11x19,Plastic,106
Product B #1980,11.55,80x29x13,Steel,144
Product B #1981,15.22,25x33x30,Iron,94
Product A #1982,5.36,34x35x25,Plastic,92
Product C #1983,21.86,69x56x6,Aluminum,175
Product C #1984,4.69,73x39x7,Wood,105
Product X #1985,14.69,80x54x24,Aluminum,282
Product Y #1986,10.57,83x42x39,Plastic,228
Product X #1987,19.66,55x16x37,Carbon,66
Product E #1988,8.36,50x48x27,Carbon,155
Product D #1989,20.16,44x51x23,Wood,71
Product E #1990,6.18,68x48x27,Carbon,13
Product E #1991,1.79,69x31x29,Iron,162
Product A #1992,23.5,36x38x18,Steel,26
Product B #1993,9.55,31x21x18,Aluminum,145
Product C #1994,8.25,90x43x38,Iron,51
Product Y #1995,12.86,64x19x39,Iron,201
Product Y #1996,24.8,63x37x14,Plastic,69
Product X #1997,11.29,77x14x28,Plastic,12
Product X #1998,23.92,23x10x35,Plastic,242
Product B #1999,15.26,93x11x35,Iron,217
Product Y #2000,20.34,85x37x35,Wood,288
Product Y #2001,14.01,98x30x36,Steel,215
Product E #2002,2.09,82x22x15,Carbon,197
Product X #2003,14.9,96x50x12,Steel,109
Product C #2004,1.53,42x52x17,Carbon,43
Product Z #2005,5.45,23x26x33,Aluminum,135
Product B #2006,5.64,22x34x38,Aluminum,101
Product Z #2007,3.29,47x60x19,Steel,113
Product Z #2008,11.0,80x60x11,Carbon,101
Product C #2009,17.8,53x19x18,Plastic,68
Product A #2010,2.65,27x16x33,Steel,99
Product X #2011,14.04,62x40x7,Iron,100
Product D #2012,22.18,96x33x26,Carbon,13
Product E #2013,14.4,59x55x36,Iron,147
Product Y #2014,17.23,45x18x34,Plastic,258
Product B #2015,22.43,62x23x31,Plastic,10
Product E #2016,9.72,86x18x8,Iron,283
Product B #2017,3.79,86x55x5,Steel,34
Product Z #2018,10.79,74x52x33,Carbon,112
Product Y #2019,1.66,64x55x14,Plastic,105
Product B #2020,6.73,61x48x10,Wood,154
Product Y #2021,11.19,68x13x18,Titanium,81
Product Y #2022,6.46,61x49x18,Iron,52
Product X #2023,15.75,64x47x6,Carbon,39
Product C #2024,21.87,54x16x19,Plastic,82
Product E #2025,14.25,22x11x31,Steel,187
Product X #2026,24.16,54x23x22,Aluminum,128
Product Z #2027,20.95,88x54x6,Aluminum,235
Product B #2028,13.15,75x34x27,Titanium,224
Product Z #2029,2.84,92x46x25,Titanium,39
Product B #2030,11.66,31x52x17,Wood,176
Product A #2031,3.94,34x42x37,Wood,114
Product D #2032,6.32,52x52x18,Aluminum,96
Product D #2033,3.72,26x52x19,Titanium,131
Product Z #2034,4.72,37x30x36,Titanium,221
Product B #2035,4.2,98x53x8,Aluminum,66
Product E #2036,14.01,80x60x20,Titanium,287
Product D #2037,6.56,59x41x38,Steel,246
Product E #2038,17.23,34x39x39,Aluminum,294
Product X #2039,10.7,97x21x25,Aluminum,294
Product A #2040,2.78,82x27x40,Steel,172
Product Y #2041,13.79,64x26x37,Wood,102
Product Z #2042,23.25,30x51x21,Iron,23
Product D #2043,5.96,72x38x8,Steel,102
Product Z #2044,9.19,52x60x24,Titanium,281
Product A #2045,1.01,69x39x22,Iron,295
Product X #2046,11.0,59x10x16,Wood,190
Product X #2047,9.49,33x10x8,Plastic,106
Product C #2048,4.92,46x19x36,Steel,30
Product Z #2049,1.82,96x34x39,Aluminum,91
Product X #2050,9.06,27x13x12,Plastic,283
Product Z #2051,11.24,48x33x26,Carbon,94
Product X #2052,19.19,70x28x34,Aluminum,142
Product B #2053,1.09,28x16x33,Wood,191
Product A #2054,17.75,26x15x8,Steel,55
Product D #2055,13.83,91x47x17,Steel,216
Product Y #2056,10.1,87x54x28,Plastic,103
Product D #2057,22.17,99x44x36,Plastic,178
Product C #2058,22.5,92x19x24,Plastic,150
Product B #2059,5.26,65x48x20,Iron,133
Product E #2060,15.04,95x18x29,Carbon,153
Product D #2061,14.81,87x43x14,Aluminum,251
Product A #2062,23.13,47x10x20,Aluminum,229
Product A #2063,2.04,70x16x23,Plastic,94
Product C #2064,3.16,73x42x22,Steel,61
Product Y #2065,23.63,97x41x36,Steel,182
Product Z #2066,2.65,78x13x14,Carbon,118
Product Z #2067,11.95,94x49x23,Wood,296
Product D #2068,10.38,49x60x21,Iron,176
Product D #2069,12.21,42x57x35,Steel,142
Product X #2070,1.68,24x30x23,Iron,68
Product C #2071,4.88,32x17x9,Iron,141
Product X #2072,5.55,51x55x40,Wood,213
Product E #2073,20.3,96x57x36,Wood,185
Product E #2074,20.91,34x39x8,Iron,57
Product A #2075,12.86,25x27x39,Wood,259
Product Z #2076,4.32,59x59x19,Carbon,186
Product A #2077,20.38,85x34x38,Plastic,291
Product D #2078,10.0,57x46x18,Titanium,167
Product D #2079,16.34,53x29x39,Steel,86
Product D #2080,24.28,29x23x11,Carbon,296
Product Z #2081,19.75,28x39x34,Steel,293
Product E #2082,23.1,47x52x39,Aluminum,289
Product B #2083,13.85,45x44x21,Wood,164
Product D #2084,9.67,93x46x28,Aluminum,72
Product B #2085,14.88,58x24x36,Steel,21
Product C #2086,13.22,82x10x31,Aluminum,299
Product E #2087,18.19,22x56x6,Plastic,277
Product Y #2088,8.57,37x37x11,Steel,87
Product Z #2089,19.77,97x31x34,Titanium,48
Product B #2090,22.21,90x14x23,Steel,251
Product C #2091,11.36,60x25x26,Aluminum,229
Product Y #2092,12.89,56x34x34,Titanium,145
Product A #2093,6.64,88x58x24,Steel,204
Product E #2094,11.08,94x57x13,Steel,273
Product Y #2095,8.14,43x18x36,Plastic,218
Product X #2096,7.37,50x36x28,Titanium,66
Product C #2097,1.93,61x44x34,Titanium,208
Product Y #2098,18.04,30x41x7,Plastic,157
Product A #2099,4.23,61x23x40,Carbon,294
Product B #2100,4.04,46x28x19,Carbon,39
Product B #2101,16.38,98x34x27,Plastic,95
Product D #2102,4.89,57x47x20,Iron,175
Product Y #2103,18.23,79x31x14,Wood,288
Product Y #2104,9.01,91x38x33,Aluminum,54
Product E #2105,12.75,57x24x14,Aluminum,91
Product Z #2106,7.74,29x15x22,Iron,229
Product E #2107,20.13,85x59x27,Plastic,78
Product Z #2108,23.52,82x10x31,Plastic,292
Product C #2109,12.05,43x43x37,Wood,134
Product Z #2110,15.67,97x38x13,Plastic,91
Product Z #2111,19.26,24x23x40,Aluminum,188
Product Z #2112,22.4,60x53x26,Carbon,245
Product D #2113,12.9,60x19x40,Plastic,213
Product A #2114,8.33,91x59x25,Plastic,170
Product Y #2115,15.03,56x43x5,Steel,128
Product B #2116,19.63,93x43x15,Titanium,23
Product Y #2117,18.36,55x52x16,Iron,243
Product Y #2118,14.45,40x39x17,Steel,52
Product C #2119,23.94,97x57x33,Iron,248
Product A #2120,13.33,85x11x31,Wood,73
Product E #2121,6.31,69x54x37,Wood,24
Product A #2122,3.15,36x11x16,Wood,94
Product A #2123,20.13,45x48x18,Wood,115
Product Z #2124,9.58,67x27x38,Iron,292
Product C #2125,16.61,98x36x21,Titanium,234
Product E #2126,18.81,57x22x23,Aluminum,294
Product Y #2127,17.94,72x48x9,Iron,203
Product C #2128,17.76,81x27x23,Wood,53
Product Y #2129,3.78,37x26x27,Iron,81
Product A #2130,13.69,98x30x33,Carbon,28
Product Y #2131,15.1,41x13x14,Carbon,105
Product X #2132,17.17,39x44x35,Plastic,13
Product A #2133,11.51,37x16x39,Aluminum,75
Product A #2134,10.09,49x59x20,Steel,138
Product C #2135,12.71,64x33x36,Carbon,213
Product C #2136,19.12,73x12x11,Titanium,219
Product E #2137,7.27,88x48x11,Carbon,227
Product X #2138,20.76,35x55x15,Steel,229
Product D #2139,8.53,71x36x40,Carbon,138
Product B #2140,24.56,58x12x19,Titanium,286
Product X #2141,21.57,37x16x38,Carbon,26
Product B #2142,13.39,54x11x36,Carbon,112
Product E #2143,2.88,46x20x27,Steel,13
Product B #2144,11.4,46x33x17,Carbon,204
Product Z #2145,1.39,95x34x22,Iron,262
Product B #2146,11.58,40x42x37,Aluminum,170
Product E #2147,4.6,68x22x8,Iron,23
Product C #2148,16.99,29x37x32,Wood,84
Product E #2149,11.91,39x10x20,Wood,144
Product B #2150,16.83,48x54x35,Aluminum,170
Product E #2151,24.83,74x28x32,Carbon,122
Product X #2152,20.37,42x17x37,Plastic,20
Product E #2153,20.73,91x36x11,Plastic,13
Product B #2154,14.86,38x25x15,Carbon,185
Product D #2155,5.73,86x20x26,Titanium,84
Product D #2156,21.63,70x55x32,Carbon,193
Product B #2157,19.97,64x23x7,Iron,28
Product X #2158,7.67,100x29x18,Steel,283
Product D #2159,19.86,49x25x31,Steel,235
Product A #2160,4.85,53x54x34,Iron,295
Product C #2161,4.67,38x14x5,Plastic,47
Product X #2162,14.53,31x42x27,Titanium,102
Product A #2163,2.6,46x44x8,Titanium,179
Product A #2164,16.29,34x46x13,Steel,104
Product D #2165,13.85,64x32x40,Plastic,267
Product Y #2166,17.95,83x21x19,Carbon,172
Product C #2167,13.92,20x40x10,Carbon,166
Product E #2168,7.71,65x58x18,Wood,179
Product X #2169,11.06,26x54x28,Steel,273
Product E #2170,24.94,84x18x38,Aluminum,155
Product C #2171,4.44,62x51x24,Aluminum,212
Product C #2172,19.4,66x27x33,Carbon,113
Product X #2173,3.61,48x52x25,Steel,56
Product E #2174,8.32,36x24x17,Iron,110
Product E #2175,19.48,25x49x34,Aluminum,241
Product D #2176,2.47,59x44x7,Aluminum,288
Product E #2177,7.87,49x32x37,Steel,93
Product Y #2178,14.01,20x39x30,Iron,196
Product Z #2179,13.48,59x44x9,Carbon,261
Product A #2180,11.5,50x51x34,Plastic,24
Product E #2181,6.28,87x27x29,Titanium,35
Product X #2182,23.89,34x24x18,Carbon,259
Product B #2183,9.84,40x15x16,Aluminum,292
Product Y #2184,3.55,63x14x17,Carbon,65
Product X #2185,15.23,23x12x36,Wood,137
Product Z #2186,9.01,76x10x15,Iron,116
Product C #2187,1.97,75x35x19,Steel,179
Product A #2188,8.97,34x49x31,Steel,96
Product C #2189,11.2,29x17x12,Aluminum,247
Product B #2190,9.8,65x39x15,Plastic,280
Product Y #2191,23.72,47x39x27,Carbon,80
Product X #2192,12.19,72x41x38,Wood,198
Product D #2193,13.28,52x30x27,Wood,280
Product B #2194,9.49,31x21x9,Titanium,213
Product X #2195,24.54,40x42x26,Carbon,93
Product Z #2196,12.04,25x42x39,Iron,28
Product X #2197,11.86,29x26x36,Titanium,38
Product Y #2198,11.29,99x14x5,Iron,267
Product B #2199,2.03,87x57x33,Titanium,105
Product Z #2200,23.47,93x19x24,Titanium,194
Product C #2201,3.07,25x30x6,Wood,178
Product A #2202,2.74,61x42x8,Aluminum,128
Product X #2203,3.09,80x18x40,Steel,116
Product D #2204,1.37,95x42x37,Plastic,268
Product Y #2205,20.61,73x35x33,Aluminum,160
Product D #2206,3.39,24x25x13,Carbon,208
Product X #2207,19.68,76x33x18,Wood,266
Product E #2208,4.56,58x33x30,Aluminum,262
Product Z #2209,6.11,41x56x17,Plastic,146
Product D #2210,12.53,57x44x25,Aluminum,252
Product Y #2211,11.78,83x35x29,Carbon,138
Product X #2212,16.67,98x45x36,Steel,240
Product D #2213,3.71,28x37x8,Iron,218
Product B #2214,23.53,92x22x27,Steel,244
Product Z #2215,22.96,78x53x19,Titanium,27
Product E #2216,24.89,93x25x37,Steel,153
Product D #2217,24.41,86x41x27,Steel,191
Product E #2218,13.37,84x48x33,Plastic,217
Product Z #2219,1.33,47x11x31,Titanium,17
Product E #2220,7.83,89x16x17,Aluminum,187
Product C #2221,9.95,43x23x12,Iron,172
Product C #2222,14.81,62x13x26,Iron,187
Product A #2223,11.86,100x19x32,Titanium,125
Product X #2224,2.23,84x16x11,Carbon,102
Product A #2225,12.57,75x18x35,Steel,280
Product E #2226,24.68,58x52x20,Iron,90
Product C #2227,24.87,90x15x10,Iron,64
Product X #2228,16.82,86x50x9,Carbon,42
Product C #2229,16.77,84x16x10,Steel,131
Product D #2230,3.93,95x18x14,Plastic,251
Product X #2231,8.66,82x13x5,Wood,286
Product Y #2232,3.2,73x41x22,Iron,77
Product C #2233,6.39,83x36x40,Plastic,44
Product C #2234,1.37,92x11x35,Titanium,44
Product A #2235,21.14,99x40x11,Plastic,169
Product X #2236,4.02,73x34x21,Wood,79
Product D #2237,16.54,30x40x8,Plastic,248
Product B #2238,21.75,34x10x29,Carbon,108
Product C #2239,18.23,62x33x19,Wood,221
Product A #2240,1.4,77x34x35,Aluminum,113
Product D #2241,4.89,71x51x30,Aluminum,94
Product C #2242,10.13,55x49x37,Wood,37
Product X #2243,15.47,60x28x21,Iron,175
Product Z #2244,18.67,96x59x13,Plastic,75
Product X #2245,19.2,45x45x24,Carbon,135
Product B #2246,1.42,50x48x31,Wood,140
Product B #2247,14.67,96x14x40,Wood,114
Product Y #2248,23.65,75x14x12,Wood,203
Product A #2249,14.21,93x41x18,Titanium,238
Product X #2250,22.18,92x44x11,Wood,43
Product C #2251,23.56,84x22x23,Steel,272
Product A #2252,15.94,64x42x28,Aluminum,75
Product X #2253,2.22,88x21x24,Aluminum,299
Product C #2254,5.21,42x31x35,Aluminum,235
Product A #2255,22.93,80x25x24,Steel,166
Product C #2256,19.64,42x33x34,Aluminum,239
Product E #2257,9.35,26x15x23,Wood,37
Product B #2258,20.06,56x48x22,Plastic,178
Product A #2259,20.59,49x53x35,Aluminum,161
Product D #2260,9.54,98x46x29,Steel,137
Product D #2261,19.28,76x36x26,Iron,38
Product C #2262,23.62,81x16x13,Carbon,161
Product X #2263,16.7,75x11x35,Plastic,189
Product D #2264,13.27,40x50x23,Steel,170
Product Z #2265,21.94,97x20x14,Steel,84
Product X #2266,11.74,56x36x28,Plastic,180
Product Z #2267,19.45,90x49x15,Steel,193
Product X #2268,4.02,61x24x24,Plastic,22
Product Y #2269,10.75,61x24x24,Wood,96
Product E #2270,22.82,27x24x32,Plastic,166
Product A #2271,1.94,59x27x29,Wood,101
Product Z #2272,5.59,36x21x33,Wood,261
Product E #2273,9.88,36x26x16,Wood,176
Product D #2274,16.43,63x52x39,Iron,235
Product Z #2275,11.31,39x35x10,Wood,115
Product B #2276,8.5,36x38x10,Carbon,168
Product A #2277,18.85,62x60x15,Titanium,265
Product Z #2278,6.59,84x60x24,Plastic,105
Product B #2279,17.64,59x28x20,Plastic,283
Product D #2280,23.48,70x52x13,Titanium,182
Product C #2281,21.45,78x33x10,Carbon,36
Product A #2282,6.75,71x15x8,Wood,295
Product B #2283,20.26,78x27x17,Plastic,233
Product Y #2284,8.77,52x58x28,Aluminum,160
Product Z #2285,1.04,58x38x19,Steel,163
Product Z #2286,22.93,85x45x19,Carbon,191
Product X #2287,3.43,72x28x32,Carbon,292
Product X #2288,11.18,70x11x28,Iron,209
Product A #2289,11.59,58x40x13,Aluminum,149
Product Z #2290,2.09,20x21x38,Wood,273
Product C #2291,6.85,85x38x37,Wood,278
Product Z #2292,10.16,26x40x33,Iron,114
Product Z #2293,24.82,26x27x24,Carbon,166
Product Z #2294,5.96,20x35x6,Wood,238
Product X #2295,1.54,40x47x6,Titanium,211
Product E #2296,11.47,38x36x20,Iron,203
Product X #2297,12.6,37x21x11,Plastic,70
Product Y #2298,19.07,83x47x23,Titanium,175
Product Z #2299,6.72,44x58x23,Wood,159
Product Z #2300,2.49,87x59x40,Iron,273
Product B #2301,5.07,68x19x25,Aluminum,145
Product C #2302,18.36,20x43x35,Aluminum,202
Product Y #2303,11.42,66x31x12,Plastic,15
Product X #2304,8.29,72x54x9,Iron,213
Product X #2305,23.68,62x41x10,Steel,246
Product D #2306,1.29,68x54x29,Steel,177
Product Z #2307,9.95,35x17x23,Aluminum,201
Product A #2308,1.83,33x32x5,Plastic,197
Product A #2309,10.76,29x42x28,Aluminum,45
Product C #2310,11.02,93x10x22,Carbon,139
Product B #2311,12.12,72x37x8,Aluminum,23
Product Y #2312,7.91,23x35x23,Aluminum,203
Product B #2313,7.06,49x15x8,Aluminum,118
Product A #2314,16.81,46x40x26,Carbon,52
Product E #2315,21.92,34x44x17,Wood,55
Product B #2316,11.11,73x13x31,Wood,45
Product Y #2317,4.37,97x47x5,Aluminum,290
Product Y #2318,5.86,39x13x12,Carbon,90
Product E #2319,11.94,34x30x27,Aluminum,78
Product Z #2320,5.82,23x40x23,Aluminum,182
Product Y #2321,16.15,46x60x15,Aluminum,39
Product Z #2322,22.01,30x33x40,Wood,259
Product A #2323,6.65,75x51x12,Aluminum,14
Product C #2324,23.32,36x44x15,Wood,95
Product D #2325,4.91,68x39x20,Titanium,201
Product Z #2326,20.47,55x31x37,Carbon,228
Product A #2327,3.05,32x37x9,Titanium,282
Product Z #2328,24.08,21x21x25,Plastic,50
Product B #2329,17.7,27x41x31,Plastic,91
Product Y #2330,4.69,75x15x40,Iron,264
Product B #2331,22.07,48x15x27,Aluminum,79
Product B #2332,17.2,56x34x27,Titanium,144
Product D #2333,8.31,88x25x6,Aluminum,269
Product Y #2334,1.03,59x56x39,Aluminum,123
Product C #2335,16.06,29x47x6,Titanium,13
Product E #2336,11.77,89x41x38,Titanium,90
Product B #2337,18.03,47x47x16,Iron,232
Product B #2338,13.8,22x54x37,Titanium,58
Product E #2339,16.54,95x43x16,Carbon,170
Product B #2340,20.94,31x60x21,Steel,179
Product C #2341,20.24,20x21x29,Carbon,96
Product X #2342,3.04,76x23x35,Aluminum,265
Product A #2343,5.96,46x13x28,Plastic,102
Product A #2344,23.78,62x12x32,Iron,55
Product C #2345,13.18,97x34x19,Titanium,226
Product Z #2346,22.27,66x52x30,Steel,132
Product E #2347,24.41,79x31x8,Iron,218
Product B #2348,12.94,88x53x39,Iron,233
Product D #2349,2.11,94x60x27,Plastic,82
Product X #2350,4.12,54x13x13,Aluminum,121
Product A #2351,16.0,32x43x24,Carbon,220
Product B #2352,7.7,78x45x40,Carbon,44
Product C #2353,19.67,85x12x34,Carbon,176
Product Y #2354,16.43,27x11x31,Carbon,229
Product C #2355,21.58,100x46x28,Plastic,52
Product Z #2356,9.05,69x23x31,Steel,192
Product Y #2357,9.68,86x50x36,Plastic,31
Product D #2358,22.43,45x44x14,Wood,116
Product E #2359,24.3,60x42x31,Plastic,80
Product B #2360,22.31,50x18x12,Plastic,247
Product A #2361,4.02,57x47x30,Plastic,71
Product X #2362,20.89,32x13x21,Steel,255
Product C #2363,23.79,38x45x36,Aluminum,171
Product B #2364,17.38,44x51x17,Carbon,54
Product Z #2365,5.89,92x46x6,Carbon,89
Product B #2366,17.6,37x31x36,Plastic,182
Product B #2367,21.83,31x20x31,Steel,83
Product E #2368,12.03,38x33x9,Wood,18
Product X #2369,16.86,77x15x33,Aluminum,270
Product A #2370,7.07,25x22x8,Plastic,236
Product E #2371,5.23,36x40x40,Steel,176
Product E #2372,7.22,35x32x37,Plastic,273
Product B #2373,24.07,23x18x12,Aluminum,64
